City_ID,City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,ancud,-41.8697,-73.8203,17.35,59,17,1.78,CL,1738680795
268,wau,7.7029,27.9953,37.26,15,99,2.12,SS,1738680796
269,zeya,53.75,127.2667,-29.58,94,62,1.94,RU,1738680797
270,tibati,6.4667,12.6333,36.04,10,8,3.42,CM,1738680798
271,novyy urengoy,66.0833,76.6333,-27.28,100,100,2.32,RU,1738680799
272,kachkanar,58.7,59.4948,-17.4,99,100,1.57,RU,1738680801
273,kyren,51.6828,102.1408,-15.54,79,100,0.97,RU,1738680802
274,usinsk,65.9939,57.5281,-11.9,85,100,3.1,RU,1738680803
275,sherbakul',54.6316,72.3963,-5.38,96,96,0.67,RU,1738680804
276,chegdomyn,51.1167,133.0167,-24.9,99,100,0.39,RU,1738680805
277,kampot,10.6167,104.1833,24.78,81,19,3.3,KH,1738680806
278,huarmey,-10.0681,-78.1522,23.22,80,100,3.12,PE,1738680808
279,coruripe,-10.1256,-36.1756,30.05,57,31,6.34,BR,1738680809
280,changzhi,35.2089,111.7386,1.14,36,14,6.07,CN,1738680810
281,camacupa,-12.0167,17.4833,24.38,59,100,1.52,AO,1738680811
282,timbuktu,16.7735,-3.0074,25.71,9,100,4.41,ML,1738680812
283,malpe,13.35,74.7167,24.92,77,9,1.79,IN,1738680813
284,vila velha,-20.3297,-40.2925,32.97,49,20,5.66,BR,1738680814
285,tuzla,44.5428,18.6694,5.98,45,0,3.6,BA,1738680815
286,severo-yeniseyskiy,60.3725,93.0408,-23.82,99,94,1.54,RU,1738680816
287,yibin,28.7667,104.6238,10.97,80,100,1.14,CN,1738680818
288,roxas,11.5853,122.7511,25.47,79,100,3.77,PH,1738680819
289,nadym,65.5333,72.5167,-19.78,98,35,4.03,RU,1738680820
290,tari,-11.1105,14.3559,25.67,60,100,2.92,AO,1738680821
291,portland,45.5234,-122.6762,-0.04,94,75,3.6,US,1738680680
292,caleta de carquin,-11.0925,-77.6267,23.38,78,99,3.4,PE,1738680823
293,nemuro,43.3236,145.575,-0.75,73,20,5.25,JP,1738680824
294,al ghayzah,16.2079,52.176,20.6,43,14,3.81,YE,1738680826
295,peace river,56.2501,-117.286,-33.52,85,0,2.57,CA,1738680827
296,khandud,36.9513,72.318,-12.66,79,93,0.92,AF,1738680828
297,kabo,7.6994,18.629,39.69,8,46,2.5,CF,1738680830
298,trat,12.5,102.5,22.98,90,6,0.4,TH,1738680831
299,cutral-co,-38.9469,-69.2089,21.53,26,6,2.89,AR,1738680832
300,capao da canoa,-29.7456,-50.0097,27.06,78,0,4.19,BR,1738680833
301,karkira,36.9292,6.5856,14.53,77,42,3.14,DZ,1738680834
302,syktyvkar,61.6764,50.8099,-3.15,100,75,3.0,RU,1738680835
303,nyurba,63.2842,118.3319,-27.49,93,100,5.51,RU,1738680836
304,nalut,30.3333,10.85,15.56,18,0,2.42,LY,1738680837
305,taunggyi,20.7833,97.0333,13.74,48,7,1.56,MM,1738680839
306,kirakira,-10.4544,161.9205,27.2,80,99,2.88,SB,1738680840
307,ponta delgada,37.7333,-25.6667,15.4,82,75,3.6,PT,1738680841
308,inhambane,-23.865,35.3833,28.27,67,13,4.79,MZ,1738680842
309,puerto penasco,31.3167,-113.5333,16.06,70,28,4.02,MX,1738680843
310,rosario do sul,-30.2583,-54.9142,39.04,18,0,2.7,BR,1738680844
311,toliara,-23.35,43.6667,30.08,60,9,5.42,MG,1738680845
312,egilsstadir,65.2653,-14.3948,0.95,64,0,6.17,IS,1738680846
313,port-vila,-17.7338,168.3219,23.78,100,100,0.51,VU,1738680847
314,ola,59.5833,151.2833,-28.25,87,12,3.38,RU,1738680849
315,muhos,64.808,25.9931,-15.82,93,80,3.32,FI,1738680850
316,sarangani,5.4033,125.4636,27.68,77,100,7.48,PH,1738680851
317,puerto aysen,-45.4,-72.7,12.77,78,59,1.56,CL,1738680852
318,jaisalmer,26.9147,70.9181,19.48,16,0,2.09,IN,1738680853
319,hotaka,36.3396,137.8825,-2.34,67,61,2.55,JP,1738680854
320,pariaman,-0.619,100.12,27.03,80,100,1.8,ID,1738680855
321,margate,51.3813,1.3862,9.37,78,2,0.45,GB,1738680856
322,tchibanga,-2.85,11.0333,27.91,75,90,2.01,GA,1738680857
